education_level,years_experience,num_relevant_skills,internal_referral,interview_score,technical_test_score,Cloud_Computing,Communication,Data_Visualization,Excel,Leadership,Machine_Learning,Python,SQL,total_skills,avg_test_score,edu_exp_score
1,17,2,0,1.47,5.53,1,0,0,0,0,0,1,0,2,4.766666666666667,17
0,19,3,0,8.46,7.27,0,0,0,0,1,1,0,0,2,7.766666666666667,0
0,6,3,1,8.62,6.88,0,0,1,0,0,0,1,1,3,6.989999999999999,0
1,1,4,0,7.78,1.07,0,0,1,0,0,0,0,1,2,5.796666666666667,1
0,9,3,1,7.94,1.75,0,1,0,1,0,0,1,0,3,4.673333333333334,0
1,0,1,0,2.93,7.85,0,0,1,0,0,0,1,0,2,6.486666666666667,0
0,18,1,1,1.98,2.45,0,0,1,0,0,0,0,1,2,3.5199999999999996,0
0,18,4,0,2.44,7.93,0,0,0,0,1,1,0,0,2,3.9166666666666665,0
0,1,2,1,6.75,8.34,0,1,0,0,1,0,0,1,3,6.716666666666666,0
0,14,3,0,4.58,9.41,0,0,0,1,0,0,0,1,2,7.45,0
0,16,2,0,1.14,8.33,0,1,1,1,0,0,0,0,3,4.283333333333334,0
2,2,2,1,9.55,5.8,0,0,1,0,1,1,0,1,4,7.586666666666667,4
0,6,3,0,3.07,2.9,1,0,0,0,1,1,1,0,4,3.6766666666666663,0
0,18,2,0,1.04,2.16,0,1,0,1,0,0,1,0,3,2.33,0
1,11,1,0,4.46,8.87,1,0,1,0,1,0,0,0,3,7.4433333333333325,11
1,13,4,0,2.92,4.51,1,0,0,1,0,0,1,0,3,4.25,13
0,16,1,1,4.32,1.47,1,0,0,0,0,0,0,1,2,4.526666666666666,0
1,18,3,0,9.45,4.13,0,0,0,0,0,0,1,0,1,6.25,18
1,4,3,0,6.59,8.82,0,1,1,1,0,0,0,1,4,6.383333333333333,4
0,7,3,0,6.81,6.06,0,0,0,0,0,0,0,1,1,7.383333333333333,0
0,8,3,0,8.95,6.77,0,0,1,0,1,0,0,1,3,5.9799999999999995,0
1,1,2,0,2.02,3.28,1,0,0,1,0,0,0,0,2,3.8433333333333337,1
0,14,2,0,1.9,1.18,0,0,0,0,0,0,0,1,1,1.95,0
2,19,4,0,8.7,9.25,1,0,0,0,0,0,1,0,2,6.663333333333333,38
0,15,3,0,2.43,1.67,0,1,1,0,0,1,1,0,4,1.9866666666666666,0
1,16,3,0,7.61,9.99,0,0,0,1,1,0,1,1,4,8.503333333333334,16
0,9,2,0,2.88,8.82,1,0,0,0,0,0,0,0,1,5.016666666666667,0
0,11,2,0,5.27,2.04,1,0,0,1,1,1,0,0,4,4.476666666666667,0
1,8,1,0,4.47,9.99,0,0,0,0,0,0,1,0,1,6.63,8
2,12,4,0,1.93,8.27,0,1,0,0,0,0,0,0,1,6.34,24
0,1,2,0,7.04,8.63,0,0,1,0,1,0,1,1,4,7.853333333333334,0
1,5,4,0,8.69,8.29,0,0,0,1,1,1,0,0,3,8.076666666666666,5
0,2,3,0,1.89,9.36,0,0,1,0,1,1,0,0,3,6.789999999999999,0
